sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:variable_name,ADD_INFO:variable_description,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
29,Unemployed,407,,occupation_status,Occupation status,1.00,APPROVED,EQUAL,Reinp,1789034161660,45877709,Unemployed,Meas Value,MAPS_TO,,Reinp,1789034157045,
60,Occasionally or a moderate amount of time (3-4 days),610,,a_emohope,k5 - Respondent felt hopeful about the future in past week?,0.68,APPROVED,EQUAL,Reinp,1788971858991,45879593,Occasionally,Meas Value,MAPS_TO,,Reinp,1788971792060,
50,Occasionally or a moderate amount of time (3-4 days),346,,a_emodep,k3 - Respondent felt depressed in past week?,0.68,APPROVED,EQUAL,Reinp,1788971858991,45879593,Occasionally,Meas Value,MAPS_TO,,Reinp,1788971767472,
12,Highest level of education,2905,,education_status,Highest level of education,1.00,APPROVED,EQUAL,Reinp,1788974610938,42528763,Highest level of education,Observation,MAPS_TO,,<auto>,1788968845009,
30,Religious affiliation,2896,,a_rel,Religious affiliation,1.00,APPROVED,EQUAL,Reinp,1788969138862,4052017,Religious affiliation,Observation,MAPS_TO,,<auto>,1788968847450,
4,Asian/Indian,25,,best_race,Race,0.54,APPROVED,EQUAL,Reinp,1789034450144,8515,Asian,Race,MAPS_TO,,Reinp,1789034442750,
71,Rarely or none of the time (less than 1 day),1486,,a_emoslp,k7 - Respondent's sleep was restless in past week?,0.62,APPROVED,EQUAL,Reinp,1788972098014,45883771,Rarely or never,Meas Value,MAPS_TO,,Reinp,1788972050878,
79,All of the time (5-7 days),78,,a_emolone,k9 - Respondent felt lonely in past week?,0.45,APPROVED,EQUAL,Reinp,1788971500833,45883772,All of the time,Meas Value,MAPS_TO,,Reinp,1788971473300,
49,All of the time (5-7 days),91,,a_emodep,k3 - Respondent felt depressed in past week?,0.45,APPROVED,EQUAL,Reinp,1788971500833,45883772,All of the time,Meas Value,MAPS_TO,,Reinp,1788971412594,
87,Some or little of the time (1-2 days),753,,a_emogo,k10 - Respondent could not get going,0.64,APPROVED,EQUAL,Reinp,1788972452614,45879198,Some of the time,Meas Value,MAPS_TO,,Reinp,1788972443339,
5,Coloured,435,,best_race,Race,0.88,APPROVED,EQUAL,Reinp,1789036300756,38003600,African,Race,MAPS_TO,,Reinp,1789036290992,
68,sleep was restless in past week,2903,,a_emoslp,k7 - Respondent's sleep was restless in past week?,0.65,APPROVED,EQUAL,Reinp,1788974260418,1761695,Restless sleep,Observation,MAPS_TO,,Reinp,1788974253828,
6,White,70,,best_race,Race,1.00,APPROVED,EQUAL,Reinp,1789034393940,8527,White,Race,MAPS_TO,,Reinp,1789034388175,
7,Age,2905,,age_group,Age Grouped,1.00,APPROVED,EQUAL,Reinp,1789028877150,3022304,Age,Observation,MAPS_TO,,Reinp,1789028865286,
1,Female,2080,,best_gen,Gender,1.00,APPROVED,EQUAL,Reinp,1788968920247,8532,FEMALE,Gender,MAPS_TO,,<auto>,1788968853135,
2,Male,825,,best_gen,Gender,1.00,APPROVED,EQUAL,Reinp,1788969199502,8507,MALE,Gender,MAPS_TO,,<auto>,1788968854575,
3,African,2375,,best_race,Race,1.00,APPROVED,EQUAL,Reinp,1788969266360,38003600,African,Race,MAPS_TO,,<auto>,1788968856354,
69,All of the time (5-7 days),116,,a_emoslp,k7 - Respondent's sleep was restless in past week?,0.45,APPROVED,EQUAL,Reinp,1788971500833,45883772,All of the time,Meas Value,MAPS_TO,,Reinp,1788971458809,
43,trouble focusing in past week,2903,,a_emomnd,k2 - Respondent had trouble focusing in past week?,0.71,APPROVED,EQUAL,Reinp,1788974227148,1761791,Trouble focusing,Observation,MAPS_TO,,<auto>,1788968858213,
31,African traditional spiritual beliefs,234,,a_rel,Religious affiliation,0.58,APPROVED,EQUAL,Reinp,1789035169204,44792985,"African religion, follower of religion",Observation,MAPS_TO,,Reinp,1789035163042,
51,Rarely or none of the time (less than 1 day),1567,,a_emodep,k3 - Respondent felt depressed in past week?,0.62,APPROVED,EQUAL,Reinp,1788972098014,45883771,Rarely or never,Meas Value,MAPS_TO,,Reinp,1788972021312,
88,CES-D Depression self-rating scale,2905,,cesd_total_score,CESD-10 total score,0.72,APPROVED,EQUAL,Reinp,1789031047628,4164828,Depression self rating scale,Measurement,MAPS_TO,,Reinp,1789031042147,
56,Rarely or none of the time (less than 1 day),1361,,a_emoeff,k4 - Respondent felt that everything was an effort in past week?,0.62,APPROVED,EQUAL,Reinp,1788972098014,45883771,Rarely or never,Meas Value,MAPS_TO,,Reinp,1788972030981,
89,Depression,640,,cesd_depression,CESD-10 depression,1.00,APPROVED,EQUAL,Reinp,1789028982584,440383,Depressive disorder,Condition,MAPS_TO,,Reinp,1789028976634,
54,All of the time (5-7 days),288,,a_emoeff,k4 - Respondent felt that everything was an effort in past week?,0.45,APPROVED,EQUAL,Reinp,1788971500833,45883772,All of the time,Meas Value,MAPS_TO,,Reinp,1788971421522,
44,All of the time (5-7 days),46,,a_emomnd,k2 - Respondent had trouble focusing in past week?,0.45,APPROVED,EQUAL,Reinp,1788971500833,45883772,All of the time,Meas Value,MAPS_TO,,Reinp,1788971396934,
80,Occasionally or a moderate amount of time (3-4 days),206,,a_emolone,k9 - Respondent felt lonely in past week?,0.68,APPROVED,EQUAL,Reinp,1788971858991,45879593,Occasionally,Meas Value,MAPS_TO,,Reinp,1788971831361,
57,Some or little of the time (1-2 days),829,,a_emoeff,k4 - Respondent felt that everything was an effort in past week?,0.64,APPROVED,EQUAL,Reinp,1788972452614,45879198,Some of the time,Meas Value,MAPS_TO,,Reinp,1788972375365,
55,Occasionally or a moderate amount of time (3-4 days),425,,a_emoeff,k4 - Respondent felt that everything was an effort in past week?,0.68,APPROVED,EQUAL,Reinp,1788971858991,45879593,Occasionally,Meas Value,MAPS_TO,,Reinp,1788971780505,
45,Occasionally or a moderate amount of time (3-4 days),246,,a_emomnd,k2 - Respondent had trouble focusing in past week?,0.68,APPROVED,EQUAL,Reinp,1788971858991,45879593,Occasionally,Meas Value,MAPS_TO,,Reinp,1788971761560,
